,dataset,gameweek,position,linear_regression_mae,ridge_regression_mae,lasso_regression_mae,random_forest_mae,random_forest_v2_mae
0,test,3,overall,2.581505630967581,2.7733550111937113,2.5068287333571293,2.2398370675169876,2.2183109258888694
1,test,4,overall,2.216361133018065,2.350782731727258,2.2976655447698895,2.0496784296933863,2.154123820196222
2,test,5,overall,2.1862846015284725,2.2509518914280475,2.2457291774751624,1.8676822023385087,1.909179012668328
3,test,6,overall,2.025420401979909,2.1362615244505574,2.1192194865085012,1.8120065315640417,1.8445316892066859
4,test,7,overall,2.107198063069365,2.0766694332728672,1.9566231324558008,1.8347281831375721,1.8305216074813346
5,test,8,overall,1.949194133007319,2.025896798214244,1.9645308471361913,1.8475878060504467,1.8614277950728886
6,test,9,overall,1.9786350426868913,1.995185644591631,1.9546450901261545,1.8433124330194919,1.8556539690253662
7,test,10,overall,1.9329471142532912,1.9618317240975627,1.9238099541430953,1.8606869810275894,1.8889110219279979
8,test,11,overall,1.9338639522209176,1.9405218090301066,1.9032656979257474,1.8536587951696668,1.8812583478481493
9,test,12,overall,1.916082053834283,1.9078619727819317,1.885248528328455,1.828342954648014,1.849218062272678
10,test,13,overall,1.9278873822452334,1.897137185833896,1.8848464005144399,1.8365245987946661,1.8523829130861202
11,test,14,overall,1.9061387816684408,1.8783221915237065,1.8917233885437064,1.8257569587782025,1.8263743419145309
12,test,15,overall,1.8475308433376443,1.8359219895286332,1.8440493243672271,1.8222735826165155,1.823132034692428
13,test,16,overall,1.8508114882193725,1.8215922966671871,1.8367035241605263,1.8163687741960979,1.8248244703454597
14,test,17,overall,1.8391227211146475,1.8151522525692922,1.8143106407070677,1.8070652480761729,1.8213067638502252
15,test,18,overall,1.8474292936390315,1.8202058532325527,1.825655419965578,1.801899361860813,1.8073767725575878
16,test,19,overall,1.8269637450020302,1.810919430898857,1.8140677814017196,1.7949235530379803,1.7911879313634902
17,test,20,overall,1.8302611741671357,1.835849604685984,1.8387025162469763,1.7859375949691136,1.7856203804408173
18,test,21,overall,1.826887894417083,1.8319325860837719,1.8204000816319488,1.7607292288815186,1.7563583498312596
19,test,22,overall,1.8091876180306457,1.8234862747884117,1.824927805930911,1.767196989888322,1.778388085023223
20,test,23,overall,1.780295582945028,1.778527915675614,1.7822626336994016,1.7873351214438522,1.796901467800291
21,test,24,overall,1.755124482064087,1.7687562735532367,1.7696317859899735,1.7938684261427598,1.8048991297122996
22,test,25,overall,1.7641174539719735,1.7748631057024382,1.7779634014139147,1.7916904835979346,1.8042947614604774
23,test,26,overall,1.7635668533793307,1.7687115086327883,1.7664677493538943,1.8247481364814073,1.8289577283811589
24,test,27,overall,1.7815252959173495,1.7837788099756773,1.7802560140493102,1.8350940778631717,1.8394264791002606
25,test,28,overall,1.8034130240564392,1.8051477842231818,1.7996158056285467,1.7934997266012669,1.7967874399616734
26,test,29,overall,1.8075714791525608,1.8127665067801277,1.8098964682709424,1.7727364283841751,1.7747113339220268
27,test,30,overall,1.8225567893680825,1.8192329672798035,1.8165850326595128,1.78041756602777,1.7794517399517964
